,code,lot_size,stock_name,stock_type,stock_id
396,HK.00430,2000,东方网库,STOCK,36455682408878
397,HK.00431,4000,大中华金融,STOCK,35618163786159
398,HK.00432,1000,盈大地产,STOCK,37203006718384
399,HK.00433,10000,北方矿业,STOCK,433
400,HK.00434,1000,博雅互动,STOCK,68805376082354
402,HK.00436,20000,新宇环保,STOCK,47648367182260
403,HK.00438,2000,彩虹新能源,STOCK,54851027337654
404,HK.00439,1000,光启科学,STOCK,34806414967223
405,HK.00440,400,大新金融,STOCK,27986006901176
406,HK.00442,1000,海福德集团,STOCK,70884140253626
407,HK.00444,10000,先施表行,STOCK,56143812493756
408,HK.00445,5000,中集天达,STOCK,51363513893309
409,HK.00449,2000,志高控股,STOCK,62006442852801
410,HK.00450,2000,鸿兴印刷集团,STOCK,34827889803714
411,HK.00451,2000,协鑫新能源,STOCK,34866544509379
412,HK.00455,2000,天大药业,STOCK,34888019345863
413,HK.00456,20000,新城市建设发展,STOCK,47674136986056
414,HK.00458,1000,联亚集团,STOCK,28252294873546
415,HK.00459,10000,美联工商铺,STOCK,48941152338379
416,HK.00460,1000,四环医药,STOCK,64033667416524
417,HK.00462,4000,天然乳品,STOCK,55589761712590
418,HK.00464,4000,中国海外诺信,STOCK,55615531516368
419,HK.00465,2000,富通科技,STOCK,62624918143441
420,HK.00467,2000,联合能源集团,STOCK,34926674051539
421,HK.00468,1000,纷美包装,STOCK,64214056042964
422,HK.00469,4000,凯普松国际,STOCK,58579058950613
423,HK.00471,4000,中播控股,STOCK,56113747722711
424,HK.00472,10000,新丝路文旅,STOCK,28351079121368
425,HK.00474,6000,昊天发展集团,STOCK,57140244906458
426,HK.00475,2000,中发展控股,STOCK,58493159604699
427,HK.00476,10000,中国动力控股,STOCK,41399189766620
428,HK.00479,20000,华建控股,STOCK,36941013713375
429,HK.00480,800,香港兴业国际,STOCK,28531467747808
430,HK.00482,2000,圣马丁国际,STOCK,55465207661026
431,HK.00483,2000,包浩斯国际,STOCK,55465207661027
432,HK.00484,100,云游控股,STOCK,68633577390564
433,HK.00485,20000,中国华星,STOCK,28668906701285
434,HK.00486,1000,俄铝,STOCK,62856846377446
435,HK.00487,4000,实德环球,STOCK,54674933678567
436,HK.00488,300,丽新发展,STOCK,28531467747816
437,HK.00489,2000,东风集团股份,STOCK,56362855825897
438,HK.00491,20000,英皇文化产业,STOCK,35197256991211
439,HK.00493,1000,国美零售,STOCK,34956738822637
440,HK.00494,2000,利丰,STOCK,35287451304430
441,HK.00495,5000,百利大,STOCK,29094108463599
442,HK.00496,1000,卡森国际,STOCK,56156697395696
443,HK.00497,10000,资本策略地产,STOCK,34956738822641
444,HK.00498,2000,保华集团,STOCK,37207301685746
445,HK.00499,2000,青岛控股,STOCK,29102698398195
446,HK.00500,1000,先丰服务集团,STOCK,29132763169268
447,HK.00503,1000,朗生医药,STOCK,63286343107063
448,HK.00505,1000,欢悦互娱,STOCK,59584081297913
449,HK.00506,2000,中国食品,STOCK,29433410879994
450,HK.00508,5000,鼎亿集团投资,STOCK,29515015258620
451,HK.00509,5000,世纪阳光,STOCK,53532472377853
452,HK.00510,6000,时富金融服务集团,STOCK,59871844106750
453,HK.00511,100,电视广播,STOCK,29635274342911
454,HK.00512,4000,远大医药,STOCK,40724879901184
455,HK.00513,10000,恒和集团,STOCK,29570849833473
456,HK.00515,2000,达进东方照明,STOCK,57213259350531
457,HK.00517,2000,中远海运国际,STOCK,34681860915717
458,HK.00518,2000,同得仕(集团),STOCK,29729763623430
459,HK.00519,5000,实力建业,STOCK,25447681229319
460,HK.00520,500,呷哺呷哺,STOCK,70523363000840
461,HK.00521,10000,CWT INT’L,STOCK,29764123361801
462,HK.00522,100,ASM太平洋,STOCK,29811368002058
463,HK.00524,10000,长城一带一路,STOCK,30275224470028
464,HK.00525,2000,广深铁路股份,STOCK,41356240093709
465,HK.00526,2000,中国汽车新零售,STOCK,40428527157774
466,HK.00527,4000,瑞风新能源,STOCK,57153129808399
467,HK.00528,2000,金达控股,STOCK,57951993725456
468,HK.00529,2000,新龙国际,STOCK,35493609734673
469,HK.00530,2000,高银金融,STOCK,35712653066770
470,HK.00531,1000,顺诚,STOCK,56276956480019
471,HK.00532,2000,王氏港建,STOCK,30618821853716
472,HK.00533,1000,金利来集团,STOCK,35626753720853
473,HK.00535,2000,金地商置,STOCK,31039728648727
474,HK.00536,2000,贸易通,STOCK,56191057134104
475,HK.00538,1000,味千(中国),STOCK,58415850193434
476,HK.00539,4000,冠华国际控股,STOCK,41351945126427
477,HK.00540,4000,迅捷环球控股,STOCK,67512590926364
478,HK.00542,8000,富元国际集团,STOCK,31202937405982
479,HK.00543,1000,太平洋网络,STOCK,59545426592287
480,HK.00544,20000,大同集团,STOCK,48404281426464
481,HK.00546,1000,阜丰集团,STOCK,58201101828642
482,HK.00547,10000,数字王国,STOCK,35308926140963
483,HK.00548,2000,深圳高速公路股份,STOCK,42653320217124
484,HK.00550,2000,KK文化,STOCK,58909771432486
485,HK.00551,500,裕元集团,STOCK,35291746271783
486,HK.00552,2000,中国通信服务,STOCK,57934813856296
487,HK.00553,2000,南京熊猫电子股份,STOCK,41304700486185
488,HK.00554,2000,汉思能源,STOCK,42984032698922
489,HK.00555,25000,御泰中彩控股,STOCK,48219597832747
490,HK.00556,2000,泛亚环保,STOCK,59558311494188
491,HK.00557,2000,天元医疗,STOCK,31357556228653
492,HK.00558,2500,力劲科技,STOCK,57707180589614
493,HK.00559,30000,德泰新能源集团,STOCK,42361262441007
494,HK.00560,2000,珠江船务,STOCK,42962557862448
495,HK.00563,2000,上实城市开发,STOCK,37160057045555
496,HK.00564,200,郑煤机,STOCK,67336497267252
